"id";"migration";"batch"
1;"0001_01_01_000000_create_users_table";1
2;"0001_01_01_000001_create_cache_table";1
3;"0001_01_01_000002_create_jobs_table";1
4;"2025_12_27_085543_create_articles_table";1
5;"2025_12_27_090429_create_categories_table";1
6;"2025_12_27_090430_add_role_to_users_table";1
7;"2025_12_27_090430_create_article_category_table";1
8;"2025_12_29_152748_create_books_table";2
9;"2025_12_29_152750_create_images_table";2
10;"2025_12_30_043940_create_books_table";3
11;"2025_12_30_044130_create_images_table";4
